Student,LPIPS,SSIM
112590020.png,0.0,1.0
110590456.png,0.25690609216690063,0.5880725488444152
112590026.png,0.2935003638267517,0.5605215413249268
112590004.png,0.30418628454208374,0.6558305062984202
112590035.png,0.30815374851226807,0.47222942867048046
109810011.png,0.3154972791671753,0.5158088907339005
112590044.png,0.32723820209503174,0.5630554328102175
112590060.png,0.32991141080856323,0.5774323031559078
112590021.png,0.3322690427303314,0.46323161201028523
112590031.png,0.3342171013355255,0.4130471327693641
112590057.png,0.34180977940559387,0.46934971683750626
111332012.png,0.3424292802810669,0.577065288344844
112590036.png,0.34987276792526245,0.5818498384484581
112590023.png,0.35460346937179565,0.6058856832175988
112590007.png,0.3604864776134491,0.5569204881934898
112590017.png,0.3615573048591614,0.5739717192795506
112590009.png,0.3648054897785187,0.5165983657848249
112590051.png,0.36941760778427124,0.41786058065965853
112590022.png,0.37385526299476624,0.5884177082689781
110820009.png,0.3749927282333374,0.46440396601451434
112590038.png,0.38066646456718445,0.5501761777363552
112590041.png,0.38148999214172363,0.5695372813361637
111820017.jpg,0.38404324650764465,0.5235653710382653
113378043.png,0.39150384068489075,0.540406887771342
112590024.png,0.403048574924469,0.3920716224458786
112590053.png,0.40318769216537476,0.4234276562665163
112590052.png,0.4077194333076477,0.4126212436898901
112590014.png,0.4155418872833252,0.587410386578438
112590029.png,0.4498559236526489,0.5505693559213513
112590005.png,0.45263540744781494,0.47761233156105654
112590033.png,0.4530235230922699,0.5242829465068605
112590030.png,0.45486968755722046,0.5393198615492525
112ab0053.png,0.45836254954338074,0.5272859922370355
112590013.png,0.4597143232822418,0.5476138500754543
112590018.png,0.46664321422576904,0.37029140466782823
112590012.png,0.5167667865753174,0.5586216586596773
110590041.png,0.5283991098403931,0.5522098811492094
